Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Chile,CHL,1964,171.41452
Chile,CHL,1965,188.8391
Chile,CHL,1966,168.62277
Chile,CHL,1967,144.98547
Chile,CHL,1968,174.92615
Chile,CHL,1969,173.31723
Chile,CHL,1970,151.92368
Chile,CHL,1971,141.8512
Chile,CHL,1972,142.31882
Chile,CHL,1973,105.25308
Chile,CHL,1974,113.74059
Chile,CHL,1975,86.05345
Chile,CHL,1976,134.4717
Chile,CHL,1977,77.07953
Chile,CHL,1978,65.41504
Chile,CHL,1979,70.25933
Chile,CHL,1980,59.532333
Chile,CHL,1981,51.337536
Chile,CHL,1982,41.70903
Chile,CHL,1983,52.474293
Chile,CHL,1984,56.93382
Chile,CHL,1985,61.007427
Chile,CHL,1986,61.73295
Chile,CHL,1987,58.062447
Chile,CHL,1988,61.53395
Chile,CHL,1989,58.36043
Chile,CHL,1990,65.655334
